WP-Line351 DataID´s:;;;;;;;;;;;;;;;;;;
Revision = 4.1.2;;;;;;;;;;;;;;;;;;
Target = CPU;;;;;;;;;;;;;;;;;;
Project number = 1524;;;;;;;;;;;;;;;;;;

Hex ;Dec  ;Beskrivelse                   ;Navn                          ;Scale Val   ;Scale Typ      ;Initial     ;Precision      ;Type                ;Unit           ;Enable  ;Supscr. ;Thresh. ;Holdtm. ;Invert  ;Offset  ;Scale   ;LogFlag ;Type
1D  ;29   ;Max temperature               ;MaxTmp                        ;10          ;SCALE_DIV      ;850         ;1              ;PARAMETER           ;UNIT_CELSIUS   ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_S16       
20  ;32   ;DataID Count                  ;DataIdCnt                     ;1           ;SCALE_NONE     ;0           ;0              ;LOCAL               ;UNIT_NONE      ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U16       
21  ;33   ;25 Digital In                 ;25                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
22  ;34   ;26 Digital In                 ;26                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
23  ;35   ;27 Digital In                 ;27                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
24  ;36   ;28 Digital In                 ;28                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
25  ;37   ;29 Digital In                 ;29                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
26  ;38   ;30 Digital In                 ;30                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
27  ;39   ;31 Digital In                 ;31                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
28  ;40   ;32 Digital In                 ;32                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
29  ;41   ;33 Digital In                 ;33                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2A  ;42   ;34 Digital In                 ;34                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2B  ;43   ;35 Digital In                 ;35                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2C  ;44   ;36 Digital In                 ;36                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2D  ;45   ;37 Digital In                 ;37                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2E  ;46   ;38 Digital In                 ;38                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2F  ;47   ;39 Digital In                 ;39                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
30  ;48   ;40 Digital In                 ;40                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
31  ;49   ;41 Digital In                 ;41                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
32  ;50   ;42 Digital In                 ;42                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
33  ;51   ;43 Digital In                 ;43                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
34  ;52   ;44 Digital In                 ;44                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
35  ;53   ;45 Digital In                 ;45                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
36  ;54   ;46 Digital In                 ;46                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
37  ;55   ;47 Digital In                 ;47                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
38  ;56   ;48 Digital In                 ;48                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
39  ;57   ;49 Digital In                 ;49                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
3A  ;58   ;50 Digital In                 ;50                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
3B  ;59   ;25 - 50 Total Digital In 0    ;Total_0                       ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;0       ;0       ;1       ;1000    ;0       ;0       ;0       ;0       ;TYPE_U32       
3C  ;60   ;25 - 50 Total Digital In 1    ;Total_1                       ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;0       ;0       ;1       ;1000    ;0       ;0       ;0       ;0       ;TYPE_U32       
3D  ;61   ;25 - 50 Total Digital In 2    ;Total_2                       ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;0       ;0       ;1       ;1000    ;0       ;0       ;0       ;0       ;TYPE_U32       
3E  ;62   ;25 - 50 Total Digital In 3    ;Total_3                       ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;0       ;0       ;1       ;1000    ;0       ;0       ;0       ;0       ;TYPE_U32       
3F  ;63   ;25 - 50 Total Digital In 4    ;Total_4                       ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;0       ;0       ;1       ;1000    ;0       ;0       ;0       ;0       ;TYPE_U32       
40  ;64   ;51 Thermistor Digital In      ;51_D                          ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
41  ;65   ;52 Thermistor Digital In      ;52_D                          ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
42  ;66   ;51 Thermistor Analog In       ;51_A                          ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_INPUT         ;UNIT_OHM       ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;0       ;TYPE_U32       
43  ;67   ;52 Thermistor Analog In       ;52_A                          ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_INPUT         ;UNIT_OHM       ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;0       ;TYPE_U32       
44  ;68   ;51 Thermistor High            ;51_Hi                         ;1           ;SCALE_NONE     ;2800        ;0              ;OUTPUT_PARAMETER    ;UNIT_OHM       ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U32       
45  ;69   ;52 Thermistor High            ;52_Hi                         ;1           ;SCALE_NONE     ;2800        ;0              ;OUTPUT_PARAMETER    ;UNIT_OHM       ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U32       
46  ;70   ;51 Thermistor Low             ;51_Lo                         ;1           ;SCALE_NONE     ;1300        ;0              ;OUTPUT_PARAMETER    ;UNIT_OHM       ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U32       
47  ;71   ;52 Thermistor Low             ;52_Lo                         ;1           ;SCALE_NONE     ;1300        ;0              ;OUTPUT_PARAMETER    ;UNIT_OHM       ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U32       
48  ;72   ;21 High Speed In              ;21_Frq                        ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_HERTZ     ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U32       
49  ;73   ;22 High Speed In              ;22_Frq                        ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_HERTZ     ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U32       
4A  ;74   ;23 High Speed In              ;23_Frq                        ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_HERTZ     ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U32       
4B  ;75   ;24 High Speed In              ;24_Frq                        ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_HERTZ     ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U32       
4C  ;76   ;21 Digital In                 ;21_D                          ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
4D  ;77   ;22 Digital In                 ;22_D                          ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
4E  ;78   ;23 Digital In                 ;23_D                          ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
4F  ;79   ;24 Digital In                 ;24_D                          ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
50  ;80   ;21 High Speed In RPM          ;21_Rpm                        ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_INPUT         ;UNIT_RPM       ;0       ;0       ;1       ;1000    ;0       ;0       ;0       ;0       ;TYPE_U32       
