<Ver.1.0>
0,0	<0>
0,5	<0>
1,0	<0>
1,5	<0>
2,0	<0>
2,5	<13>
3,0	<41>
3,5	<78>
4,0	<127>
4,5	<192>
5,0	<274>
5,5	<375>
6,0	<499>
6,5	<648>
7,0	<823>
7,5	<1025>
8,0	<1255>
8,5	<1505>
9,0	<1768>
9,5	<2038>
10,0	<2309>
10,5	<2580>
11,0	<2807>
11,5	<2931>
12,0	<2971>
12,5	<2985>
13,0	<3000>
13,5	<3000>
14,0	<3000>
14,5	<3000>
15,0	<3000>
15,5	<3000>
16,0	<3000>
16,5	<3000>
17,0	<3000>
17,5	<3000>
18,0	<3000>
18,5	<3000>
19,0	<3000>
19,5	<3000>
20,0	<3000>
20,5	<3000>
21,0	<3000>
21,5	<3000>
22,0	<3000>
22,5	<3000>
23,0	<3000>
23,5	<3000>
24,0	<3000>
24,5	<3000>
25,0	<3000>
25,5	<2750>
26,0	<2500>
26,5	<2250>
27,0	<2000>
27,5	<1750>
28,0	<1500>
28,5	<1250>
29,0	<1000>
29,5	<750>
30,0	<500>
<END_OF_TABLE>
