WP-Line415 DataID´s:;;;;;;;;;;;;;;;;;;
Revision = 1.1.0;;;;;;;;;;;;;;;;;;
Target = CPU;;;;;;;;;;;;;;;;;;
Project number = 9564;;;;;;;;;;;;;;;;;;

Hex ;Dec  ;Beskrivelse                   ;Navn                          ;Scale Val   ;Scale Typ      ;Initial     ;Precision      ;Type                ;Unit           ;Enable  ;Supscr. ;Thresh. ;Holdtm. ;Invert  ;Offset  ;Scale   ;LogFlag ;Type
1D  ;29   ;Max temperature               ;MaxTmp                        ;10          ;SCALE_DIV      ;850         ;1              ;PARAMETER           ;UNIT_CELSIUS   ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_S16       
20  ;32   ;DataID Count                  ;DataIdCnt                     ;1           ;SCALE_NONE     ;0           ;0              ;LOCAL               ;UNIT_NONE      ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U16       
21  ;33   ;Supply +12V                   ;12Vol                         ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;5       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
22  ;34   ;Supply +3.3V                  ;3.3Vol                        ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
24  ;36   ;1 Analog In Current           ;1                             ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
25  ;37   ;2 Analog In Current           ;2                             ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
26  ;38   ;3 Analog In Current           ;3                             ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
27  ;39   ;4 Analog In Current           ;4                             ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
28  ;40   ;5 Analog In Current           ;5                             ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
29  ;41   ;6 Analog In Current           ;6                             ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
2A  ;42   ;7 Analog In Current           ;7                             ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
2B  ;43   ;8 Analog In Current           ;8                             ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
2C  ;44   ;9 Analog In Current           ;9                             ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
2D  ;45   ;10 Analog In Current          ;10                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
2E  ;46   ;11 Analog In Current          ;11                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
2F  ;47   ;12 Analog In Current          ;12                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
30  ;48   ;13 Analog In Current          ;13                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
31  ;49   ;14 Analog In Current          ;14                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
32  ;50   ;15 Analog In Current          ;15                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
33  ;51   ;16 Analog In Current          ;16                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
34  ;52   ;17 Analog In Voltage          ;17                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_S16       
35  ;53   ;18 Analog In Voltage          ;18                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_S16       
36  ;54   ;19 Analog In Voltage          ;19                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_S16       
37  ;55   ;20 Analog In Voltage          ;20                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_S16       
38  ;56   ;21 Analog In Voltage          ;21                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_S16       
39  ;57   ;22 Analog In Voltage          ;22                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_S16       
3A  ;58   ;23 Analog In Voltage          ;23                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_S16       
3B  ;59   ;24 Analog In Voltage          ;24                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_S16       
3C  ;60   ;25 Analog In Voltage          ;25                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_S16       
3D  ;61   ;26 Analog In Voltage          ;26                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_S16       
3E  ;62   ;27 Analog In Voltage          ;27                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_S16       
3F  ;63   ;28 Analog In Voltage          ;28                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_S16       
40  ;64   ;29 Analog In Voltage          ;29                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_S16       
41  ;65   ;30 Analog In Voltage          ;30                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_S16       
42  ;66   ;31 Analog In Voltage          ;31                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_S16       
43  ;67   ;32 Analog In Voltage          ;32                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_S16       
