WP-Line271 DataID’s:;;;;;;;;;;;;;;;;;;
Revision = 2.0.8;;;;;;;;;;;;;;;;;;
Target = CPU;;;;;;;;;;;;;;;;;;
Project number = 4526;;;;;;;;;;;;;;;;;;

Hex ;Dec  ;Beskrivelse                   ;Navn                          ;Scale Val   ;Scale Typ      ;Initial     ;Precision      ;Type                ;Unit           ;Enable  ;Supscr. ;Thresh. ;Holdtm. ;Invert  ;Offset  ;Scale   ;LogFlag ;Type
1D  ;29   ;Max temperature               ;MaxTmp                        ;10          ;SCALE_DIV      ;850         ;1              ;PARAMETER           ;UNIT_CELSIUS   ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_S16       
20  ;32   ;DataID Count                  ;DataIdCnt                     ;1           ;SCALE_NONE     ;0           ;0              ;LOCAL               ;UNIT_NONE      ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
21  ;33   ;DAC Resolution                ;DAC_Res                       ;1           ;SCALE_NONE     ;0           ;0              ;VALUE_INPUT         ;UNIT_NONE      ;1       ;0       ;1       ;10000   ;0       ;0       ;0       ;1       ;TYPE_U16       
22  ;34   ;PowerSupply Status            ;PS_Status                     ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;100     ;0       ;0       ;0       ;1       ;TYPE_U8        
23  ;35   ;Supply 24V                    ;24Vol                         ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;100     ;0       ;0       ;0       ;1       ;TYPE_U16       
24  ;36   ;01 Analog Out Current         ;1                             ;1000        ;SCALE_DIV      ;0           ;2              ;VALUE_OUTPUT        ;UNIT_MAMPERE   ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
25  ;37   ;02 Analog Out Current         ;2                             ;1000        ;SCALE_DIV      ;0           ;2              ;VALUE_OUTPUT        ;UNIT_MAMPERE   ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
26  ;38   ;03 Analog Out Current         ;3                             ;1000        ;SCALE_DIV      ;0           ;2              ;VALUE_OUTPUT        ;UNIT_MAMPERE   ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
27  ;39   ;04 Analog Out Current         ;4                             ;1000        ;SCALE_DIV      ;0           ;2              ;VALUE_OUTPUT        ;UNIT_MAMPERE   ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
28  ;40   ;05 Analog Out Current         ;5                             ;1000        ;SCALE_DIV      ;0           ;2              ;VALUE_OUTPUT        ;UNIT_MAMPERE   ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
29  ;41   ;06 Analog Out Current         ;6                             ;1000        ;SCALE_DIV      ;0           ;2              ;VALUE_OUTPUT        ;UNIT_MAMPERE   ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
2A  ;42   ;07 Analog Out Current         ;7                             ;1000        ;SCALE_DIV      ;0           ;2              ;VALUE_OUTPUT        ;UNIT_MAMPERE   ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
2B  ;43   ;08 Analog Out Current         ;8                             ;1000        ;SCALE_DIV      ;0           ;2              ;VALUE_OUTPUT        ;UNIT_MAMPERE   ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
