WP-Line419 DataID´s:;;;;;;;;;;;;;;;;;;
Revision = 1.0.0;;;;;;;;;;;;;;;;;;
Target = CPU;;;;;;;;;;;;;;;;;;
Project number = 9564;;;;;;;;;;;;;;;;;;

Hex ;Dec  ;Beskrivelse                   ;Navn                          ;Scale Val   ;Scale Typ      ;Initial     ;Precision      ;Type                ;Unit           ;Enable  ;Supscr. ;Thresh. ;Holdtm. ;Invert  ;Offset  ;Scale   ;LogFlag ;Type
1D  ;29   ;Max temperature               ;MaxTmp                        ;10          ;SCALE_DIV      ;850         ;1              ;PARAMETER           ;UNIT_CELSIUS   ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_S16       
20  ;32   ;DataID Count                  ;DataIdCnt                     ;1           ;SCALE_NONE     ;0           ;0              ;LOCAL               ;UNIT_NONE      ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U16       
21  ;33   ;Supply +12V                   ;12Vol                         ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;5       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
22  ;34   ;Supply +3.3V                  ;3.3Vol                        ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
24  ;36   ;1 Digital In                  ;1                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
25  ;37   ;2 Digital In                  ;2                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
26  ;38   ;3 Digital In                  ;3                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
27  ;39   ;4 Digital In                  ;4                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
28  ;40   ;5 Digital In                  ;5                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
29  ;41   ;6 Digital In                  ;6                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2A  ;42   ;7 Digital In                  ;7                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2B  ;43   ;8 Digital In                  ;8                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2C  ;44   ;9 Digital In                  ;9                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2D  ;45   ;10 Digital In                 ;10                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2E  ;46   ;11 Digital In                 ;11                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2F  ;47   ;12 Digital In                 ;12                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
30  ;48   ;13 Digital In                 ;13                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
31  ;49   ;14 Digital In                 ;14                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
32  ;50   ;15 Digital In                 ;15                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
33  ;51   ;16 Digital In                 ;16                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
34  ;52   ;1 - 16 Supply +24V            ;1_16_24Vol                    ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;10      ;0       ;0       ;0       ;1       ;TYPE_U8        
35  ;53   ;17 Digital In                 ;17                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
36  ;54   ;18 Digital In                 ;18                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
37  ;55   ;19 Digital In                 ;19                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
38  ;56   ;20 Digital In                 ;20                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
39  ;57   ;21 Digital In                 ;21                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
3A  ;58   ;22 Digital In                 ;22                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
3B  ;59   ;23 Digital In                 ;23                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
3C  ;60   ;24 Digital In                 ;24                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
3D  ;61   ;25 Digital In                 ;25                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
3E  ;62   ;26 Digital In                 ;26                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
3F  ;63   ;27 Digital In                 ;27                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
40  ;64   ;28 Digital In                 ;28                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
41  ;65   ;29 Digital In                 ;29                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
42  ;66   ;30 Digital In                 ;30                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
43  ;67   ;31 Digital In                 ;31                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
44  ;68   ;32 Digital In                 ;32                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
45  ;69   ;17 - 32 Supply +24V           ;17_32_24Vol                   ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;10      ;0       ;0       ;0       ;1       ;TYPE_U8        
47  ;71   ;33 - 40 Supply +24V           ;33_40_24Vol                   ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;10      ;0       ;0       ;0       ;1       ;TYPE_U8        
48  ;72   ;33 Analog Out Current         ;33                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_OUTPUT        ;UNIT_MAMPERE   ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
49  ;73   ;34 Analog Out Current         ;34                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_OUTPUT        ;UNIT_MAMPERE   ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
4A  ;74   ;35 Analog Out Current         ;35                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_OUTPUT        ;UNIT_MAMPERE   ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
4B  ;75   ;36 Analog Out Current         ;36                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_OUTPUT        ;UNIT_MAMPERE   ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
4C  ;76   ;37 Analog Out Current         ;37                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_OUTPUT        ;UNIT_MAMPERE   ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
4D  ;77   ;38 Analog Out Current         ;38                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_OUTPUT        ;UNIT_MAMPERE   ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
4E  ;78   ;39 Analog Out Current         ;39                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_OUTPUT        ;UNIT_MAMPERE   ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
4F  ;79   ;40 Analog Out Current         ;40                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_OUTPUT        ;UNIT_MAMPERE   ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
50  ;80   ;41 Analog In Current          ;41                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
51  ;81   ;42 Analog In Current          ;42                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
52  ;82   ;43 Analog In Current          ;43                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
