<Ver.2.0>
0	<420>
150	<580>
300	<710>
450	<805>
600	<885>
750	<953>
900	<1012>
1050	<1065>
1200	<1115>
1350	<1160>
1500	<1200>
1650	<1200>
1800	<1200>
1950	<1200>
2100	<1200>
2250	<1200>
2400	<1200>
2550	<1200>
2700	<1200>
2850	<1200>
3000	<1200>
3150	<1200>
3300	<1200>
3450	<1200>
3600	<1200>
3750	<1200>
3900	<1200>
4050	<1200>
4200	<1200>
4350	<1200>
4500	<1200>
4650	<1200>
4800	<1200>
4950	<1200>
5100	<1200>
5250	<1200>
5400	<1200>
5550	<1200>
5700	<1200>
5850	<1200>
6000	<1200>
<END_OF_TABLE>
