WP-Line110 DataID´s:;;;;;;;;;;;;;;;;;;
Revision = 4.0.4;;;;;;;;;;;;;;;;;;
Target = CPU;;;;;;;;;;;;;;;;;;
Project number = 1528;;;;;;;;;;;;;;;;;;

Hex ;Dec  ;Beskrivelse                   ;Navn                          ;Scale Val   ;Scale Typ      ;Initial     ;Precision      ;Type                ;Unit           ;Enable  ;Supscr. ;Thresh. ;Holdtm. ;Invert  ;Offset  ;Scale   ;LogFlag ;Type
1D  ;29   ;Max temperature               ;MaxTmp                        ;10          ;SCALE_DIV      ;850         ;1              ;PARAMETER           ;UNIT_CELSIUS   ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_S16       
20  ;32   ;DataID Count                  ;DataIdCnt                     ;1           ;SCALE_NONE     ;0           ;0              ;LOCAL               ;UNIT_NONE      ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U16       
21  ;33   ;Module Count                  ;ModuleCnt                     ;1           ;SCALE_NONE     ;1           ;0              ;VALUE_INPUT         ;UNIT_NONE      ;1       ;1       ;1       ;500     ;0       ;0       ;0       ;1       ;TYPE_U8        
22  ;34   ;Master PSU                    ;MasterPsu                     ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;500     ;0       ;0       ;0       ;1       ;TYPE_U8        
23  ;35   ;Supply +24V                   ;24Vol                         ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
24  ;36   ;Supply +24V Noise             ;24VolNoise                    ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
25  ;37   ;Supply +1.5A                  ;24VolCur                      ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_AMPERE    ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
26  ;38   ;Supply +12V                   ;12Vol                         ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
27  ;39   ;Supply +12V Noise             ;12VolNoise                    ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
28  ;40   ;Supply +12V #1 Toggle Time    ;12Vol1Toggle                  ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_SECOND    ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
29  ;41   ;Supply +12V #1 Active         ;12Vol1Active                  ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2A  ;42   ;Supply +12V #2 Toggle Time    ;12Vol2Toggle                  ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_SECOND    ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
2B  ;43   ;Supply +12V #2 Active         ;12Vol2Active                  ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2C  ;44   ;Supply +1.8V                  ;1V8                           ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
2D  ;45   ;BBN 4 VLAN (physical port 1)  ;BBN 4 VLAN                    ;1           ;SCALE_NONE     ;12345       ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
2E  ;46   ;BBN 5 VLAN (physical port 2)  ;BBN 5 VLAN                    ;1           ;SCALE_NONE     ;12345       ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
2F  ;47   ;BBN 1 VLAN (physical port 3)  ;BBN 1 VLAN                    ;1           ;SCALE_NONE     ;12345       ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
30  ;48   ;BBN 2 VLAN (physical port 4)  ;BBN 2 VLAN                    ;1           ;SCALE_NONE     ;12345       ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
31  ;49   ;BBN 3 VLAN (physical port 5)  ;BBN 3 VLAN                    ;1           ;SCALE_NONE     ;12345       ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U16       
32  ;50   ;BBN 2-3                       ;BBN 2-3                       ;1           ;SCALE_NONE     ;12          ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
33  ;51   ;BBN 5 Port On/Off             ;BBN 5                         ;1           ;SCALE_NONE     ;1           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
34  ;52   ;BBN 5 Port Speed              ;BBN 5 Speed                   ;1           ;SCALE_NONE     ;10          ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
35  ;53   ;BBN 1 Port On/Off             ;BBN 1                         ;1           ;SCALE_NONE     ;1           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
36  ;54   ;BBN 1 Port Speed              ;BBN 1 Speed                   ;1           ;SCALE_NONE     ;100         ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
37  ;55   ;Ethernet Switch Reset         ;SwitchReset                   ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
38  ;56   ;BBN 1 Sniffer On/Off          ;BBN 1 Sniffer                 ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
39  ;57   ;Supply +12V feedback          ;FBack                         ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
3A  ;58   ;Surveillance                  ;Surveillance                  ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
3B  ;59   ;BBN 1 Duplex Half(0)/Full(1)  ;BBN 1 Duplex                  ;1           ;SCALE_NONE     ;1           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
3C  ;60   ;BBN 1 Auto Negotiation        ;BBN 1 AutoNego                ;1           ;SCALE_NONE     ;1           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
3D  ;61   ;BBN 5 Duplex Half(0)/Full(1)  ;BBN 5 Duplex                  ;1           ;SCALE_NONE     ;1           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
3E  ;62   ;BBN 5 Auto Negotiation        ;BBN 5 AutoNego                ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
